Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ada0251518132ddc477303fd77be429f81fd6f90f8235a297ccca1afbe5fa160,2017-06,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Unable to prosecute suspect
a80cd8654e19112f2b8b21c6e39da487e4fa15e26a33c09cc5b671535dedaa7d,2017-06,City of London Police,City of London Police,-0.079444,51.512678,On or near FENCHURCH BUILDINGS,E01032739,City of London 001F,Investigation complete; no suspect identified
b8665fe984b356a7f1a6790fd025783b0226911e23ba4d7aec554032230cfa74,2017-06,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
ccce201fa49ed1e7ece1198a918472952225a04b61f56f25e937810abbb25051,2017-06,City of London Police,City of London Police,-0.079444,51.512678,On or near FENCHURCH BUILDINGS,E01032739,City of London 001F,Investigation complete; no suspect identified
5d94e3e9799d519886c7d8f7dcda96bd163b3aaa82d912b469608c099b183273,2017-06,City of London Police,City of London Police,-0.077300,51.512607,On or near CARLISLE AVENUE,E01032739,City of London 001F,Offender given penalty notice
f8532b1fab25b253d3ee6121827aecd2ebec1c2d21d96fc5c09ab70102e1ca14,2017-06,City of London Police,City of London Police,-0.086393,51.510894,On or near EASTCHEAP,E01032739,City of London 001F,Offender given a caution
9f7481605e1f174121ab435dc6309872e7583a0cf155bc7ab55f4524e86ede00,2017-06,City of London Police,City of London Police,-0.098777,51.512526,On or near KNIGHTRIDER STREET,E01032739,City of London 001F,Suspect charged
581c62389755ea62a0ee01d3c1f28b5fc005f24077693df0d9b9c63422ee9400,2017-06,City of London Police,City of London Police,-0.073065,51.511180,On or near GOODMAN'S YARD,E01000005,City of London 001E,Investigation complete; no suspect identified
4eef7a81c0b15d2183844d90c3950fc7e0ee638f96da69443eaa1a39caf081bb,2017-06,City of London Police,City of London Police,-0.088843,51.509532,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
ae443cca7064505f0c7c84fc0092674f9c3535157ab4c7a2b403f8fe63bfa606,2017-06,City of London Police,City of London Police,-0.085355,51.510563,On or near PUDDING LANE,E01032739,City of London 001F,Suspect charged
5a4e011d37df4d1fe42b480bcd1f1082563226e5d3bde0c87e2817d0988a8ab8,2017-06,City of London Police,City of London Police,-0.079130,51.507808,On or near Ferry Terminal,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
3a5bf4c908162e3377dd821dbba12cfede39b29424d0d4b684d0766c6bdd9214,2017-06,City of London Police,City of London Police,-0.084566,51.517690,On or near BLOMFIELD STREET,E01032739,City of London 001F,Unable to prosecute suspect
6df3ed5cf58e9852e2c0bed26a25034d8e69c8f7272617289345f2c1abf4d8c1,2017-06,City of London Police,City of London Police,-0.095892,51.516391,On or near NOBLE STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
e641cac2b8ab2417be37d1978201324516d4893259da316b2e26399c92864146,2017-06,City of London Police,City of London Police,-0.100593,51.520846,On or near CHARTERHOUSE MEWS,E01033490,Islington 022H,Investigation complete; no suspect identified
1ee4dcb28548f931675ca9c7dc188bac425236e532572eef47da8a556bb8523d,2017-06,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Investigation complete; no suspect identified
817144697a69ad2efe9123f1aff70b5d9b6b2d2587177ea6fc2ab9b9c2db819f,2017-06,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Investigation complete; no suspect identified
dbadf983ecfa2f89365d3736d2142ebbdea5c4724c4b96ffd2b223b8fbb44e6a,2017-06,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
6ce00eec02717601551be241ba23af322b04d52e57b5d365a18f6d06729fcffc,2017-06,City of London Police,City of London Police,-0.109709,51.517909,On or near HIGH HOLBORN,E01032740,City of London 001G,Investigation complete; no suspect identified
4e08aeb9ac870dfcd70971bbb5ca8f5da2dc59118edf3d3284966d1009f1f822,2017-06,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
4dc4064bf4a93e168d856e6d45df625d4ac8823705f4e116a0d950cafce79c87,2017-06,City of London Police,City of London Police,-0.082628,51.518189,On or near SUN STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
942bd9d9cea582ef992b54b23a3d33c86a0e89c265538f56e98eb794eae8ff22,2017-06,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Offender given a drugs possession warning
16e4ac57b7ab05afd5a11eea44e1f2841355a1bbd32efd24e66d48f4c884e1b7,2017-06,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
ea3df958d69e635b4f5902def042ecaa1a7c7de5e93dd863268fe919215c01a4,2017-06,City of London Police,City of London Police,-0.094468,51.521853,On or near GOLDEN LANE,E01000003,City of London 001C,Investigation complete; no suspect identified
1dfaf86d4e4960738887eb127f921dcbc0de6804ec3cab703892b12bf15cc253,2017-06,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e296b42333c4c7b8dd3e785f674bc0c7667d27f5e6288f56b981c41a44ca8891,2017-06,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
0ba30a3dd65b7261372c31528b49744d47c67b058401ea12732889c41b4a9d4f,2017-06,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Investigation complete; no suspect identified
8d7e3f9a73fd0561151fa9635f62cb52626a0bba74bed78d7174c1ae91669395,2017-06,City of London Police,City of London Police,-0.077224,51.516122,On or near Shopping Area,E01000005,City of London 001E,Unable to prosecute suspect
621fc1054e6b0ebb93db022b419ccb89b8e5123ba65cd88eace56f2694cc4efc,2017-06,City of London Police,City of London Police,-0.080322,51.510651,On or near MARK LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
dca9ec1f08dafaed5d0f7d2bb360b0e9ba2095d73533fb59491742f1258d6dba,2017-06,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Investigation complete; no suspect identified
a633580cdb093504ad60aef032e56ef7bb617a73c6d5e9a2e4b28e3fffa40678,2017-06,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
7a11c4629e616a80d3347d2e8f05ca2114251f47aecdfa570a4530b7c5747273,2017-06,City of London Police,City of London Police,-0.079011,51.509614,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
cdf21047d7f0c0ff55d19ac885b446f4e44d1e594577e97946d54f87c7a510b9,2017-06,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
71c6e027a39a25f3b5cf445a7bba164fc64468be43f75d277fcfafa4c28a4657,2017-06,City of London Police,City of London Police,-0.080322,51.510651,On or near MARK LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
4e3b17e6cd7b29614f45a7ca0c5fe4e50b25e2b47f6ee4ac739b77465887724b,2017-06,City of London Police,City of London Police,-0.080952,51.514528,On or near ST MARY AXE,E01032739,City of London 001F,Investigation complete; no suspect identified
e17f0ed2d006bf981853906354353b987d318ebd1b5920741db647601a0ba5fc,2017-06,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Suspect charged
40997245cf4db61214036980c8cf388964195692a142cf1aed5f571b2c34d641,2017-06,City of London Police,City of London Police,-0.076270,51.515504,On or near GRAVEL LANE,E01000005,City of London 001E,Investigation complete; no suspect identified
201900814fb17dac8ee7d0920efb5412438211faf8ce1654a395833cf1f0aeb4,2017-06,City of London Police,City of London Police,-0.077578,51.510795,On or near PEPYS STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
19c8f0ccdaf86567d347b693672b7c67268c3702e385116e7863b0215b5ccaf4,2017-06,City of London Police,City of London Police,-0.101055,51.513552,On or near CREED LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
0a67194920146b492caf4314572315d7b3b29f1ca2774fe7bb3b94b07c232202,2017-06,City of London Police,City of London Police,-0.090348,51.519358,On or near MOOR LANE,E01000002,City of London 001B,Local resolution
e3ad4b361d28a014107a07c6dde93fca881e24fbaeddb1a9abb7b318c722ec52,2017-06,City of London Police,City of London Police,-0.102502,51.516165,On or near GREEN ARBOUR COURT,E01032740,City of London 001G,Unable to prosecute suspect
bbd9e5c589c8d7e8fc373fdbac898f230641c366d271186dc58164a630f076a5,2017-06,City of London Police,City of London Police,-0.084723,51.514986,On or near Conference/Exhibition Centre,E01032739,City of London 001F,Investigation complete; no suspect identified
b8852e536c0a63272e6f8e124e178bbbb46fcae0abbe9dc5dabcde91b3ad7154,2017-06,City of London Police,City of London Police,-0.079444,51.512678,On or near FENCHURCH BUILDINGS,E01032739,City of London 001F,Investigation complete; no suspect identified
96f3884cc5d65d3113104d52e4f811a012e95a58425f535bec68f01b6e716dfc,2017-06,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
cad0f2e17c70a9bc56e171abb2720ef5b5787f1e8ce237af9ae76db79b31f685,2017-06,City of London Police,City of London Police,-0.104281,51.516032,On or near BEAR ALLEY,E01032740,City of London 001G,Investigation complete; no suspect identified
a92a8ee9d5cdd5a877bcfc2ce3063c92134e6d6010473b797881e4670fb7bbc2,2017-06,City of London Police,City of London Police,-0.104621,51.512692,On or near Supermarket,E01032740,City of London 001G,Unable to prosecute suspect
1ce69116439ac15c627c19b4bcd1fe7116ae431f5123fd486ad599a164da4cc4,2017-06,City of London Police,City of London Police,-0.077300,51.512607,On or near CARLISLE AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
bcec2d8876173be04d166124e8fcf32bfe98a854d1aee7d0e4054bd0f5226a95,2017-06,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Unable to prosecute suspect
0cea075f31c775fee665e49bd2bf0728e8e310390b5364a5c01901a6e6627b87,2017-06,City of London Police,City of London Police,-0.079080,51.519615,On or near BISHOPSGATE,E01004307,Tower Hamlets 015B,Unable to prosecute suspect
332614dcf063b5fae300189c502acc04d193f60cc54e83adcb54c07b72061015,2017-06,City of London Police,City of London Police,-0.093493,51.513447,On or near BOW LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
cb48ce48b253e65596ae34d40a4561402d2cf6f3f7ab2e8db330c6f8de5afe05,2017-06,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Investigation complete; no suspect identified
83c650711270738f9d48505d5e70a4a62d922aea11d1f1cd872b34bb8ca2fe81,2017-06,City of London Police,City of London Police,-0.082628,51.518189,On or near SUN STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
39ea23ba3e42967068ff7ce9b49c54bcb4293524cb03a88126139a60cf754967,2017-06,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
c101d91cbbaf0669732b7702414e0b32e92e46398321dd2543484476039262b8,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Investigation complete; no suspect identified
72e93781e3016d2cb84c7437db84d56c37bcfc16ebc25a79dad5c883ce22d416,2017-06,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Investigation complete; no suspect identified
98cada4d5f2dbddd9ae50f739ba14a2da34c7950e4e886f4eddf9ed0f8af8522,2017-06,City of London Police,City of London Police,-0.090419,51.514917,On or near GRESHAM STREET,E01032739,City of London 001F,Formal action is not in the public interest
055bb0e21d9f048436710ae102cc7a63ce82835098159ddfda5238e190f910a9,2017-06,City of London Police,City of London Police,-0.073065,51.511180,On or near GOODMAN'S YARD,E01000005,City of London 001E,Investigation complete; no suspect identified
8685543adaf7b548df92803356a7f5a2df4bc04225b12becfab4bd82f2193916,2017-06,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Formal action is not in the public interest
03794a9fd466658e39860e3d50226608970bcbf7a6dc2e0f50c395addc414cf6,2017-06,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Investigation complete; no suspect identified
0d7405bdbb2ed1ea1e5b009963bc8a1b2f82bb262a4db91ceeda26d037a33a5d,2017-06,City of London Police,City of London Police,-0.077029,51.510148,On or near TRINITY SQUARE,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
cac14814cff63cfbc4ed05d690e2f4686e5526a714830e2e6ad59da288da314e,2017-06,City of London Police,City of London Police,-0.101073,51.513453,On or near CREED LANE,E01032739,City of London 001F,Unable to prosecute suspect
c95925e1a475ac478273c1fef2898188d3756d159333342c2dd944618abd7e08,2017-06,City of London Police,City of London Police,-0.101055,51.513552,On or near CREED LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
a671f9861a412f4781166355f0661d7a9f87fedf53536c65b07aa73970ea74e7,2017-06,City of London Police,City of London Police,-0.086416,51.516191,On or near THROGMORTON AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
62f4a141f19081212ab91dfebc4017eb6f874a23cfc70030857ef76b6f479155,2017-06,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Offender given suspended prison sentence
945bb8381f89db857ba75a06b8ce7c0a040352a0f39c9ce8c219ec6016b3b2e8,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Defendant found not guilty
76f29223f6f22120df3988708f0b4d0d32eacddea7e4830ceaf8348150203817,2017-06,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Offender sent to prison
5108c61c936fede7206a461800d6bbd231e325497688048c6922305ce449dc15,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
c532d916156e706da083122f80c6224cfaefdb386284c6b71aa8150375766773,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Defendant found not guilty
e58a7b2c234a2f789507141f8e3827a5f6af8a5b5c9317ce823b2739f144e7f2,2017-06,City of London Police,City of London Police,-0.079875,51.510995,On or near HART STREET,E01032739,City of London 001F,Court case unable to proceed
ac5454fe77fe436831cf5ff30f7cd9f636a78fa02538a4794354b81501016833,2017-06,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Offender given community sentence
68af5527837b04b251e7952d89aa320c3f839df7c7b29f70e11b2842e8929b09,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Defendant found not guilty
9e38e8a085c108961f4610725c1282737cbe342fc2298a928abd737f3ee2a8c2,2017-06,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Offender sent to prison
c378512b489c05a1bbe079a94dc4ecaf53adbd739e20ae8981f727a2e622495e,2017-06,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Offender sent to prison
8d6e91e1d03698837dbd75066e675144c451f9afb9aa7230bec3cce51f2b8b10,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
a872b2c0744e9faeb6c2024db0e82911647f6524a8aa7145df27946721fd01c9,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
9d3bf3c336be0fa623f0b30bb34092562ce26333af9d6ac5b9b71ea31ec7d422,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Offender given suspended prison sentence
1be3b03a7d8a7715010641601492b9a6afd9cc9ab4daf8b1bdd284a42ff83cbe,2017-06,City of London Police,City of London Police,-0.094758,51.512829,On or near Nightclub,E01032739,City of London 001F,Offender fined
87a537e3a87d70093169d39a7812bc5f1e4a8317a13ddce470713d3cf53c6084,2017-06,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Offender fined
bafff26e2afa15cc11c81db0ce99a27ee02ffcdb113d8f84fd43d3edcac3351f,2017-06,City of London Police,City of London Police,,,No location,,,Defendant sent to Crown Court
918a335ebe8819aaa5433e504d3ffde4f7fcd31f05edc168c1f296d2e75a8c3e,2017-06,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given suspended prison sentence
4455b593c38af7d839778c8325e4bf4d63393ff30171f01e441311b34f061861,2017-06,City of London Police,City of London Police,-0.082965,51.516351,On or near WORMWOOD STREET,E01032739,City of London 001F,Defendant found not guilty
95d848d491d3c23d837acfe9534e5a8314f9c302cf64f9c90ce97b7a8c28d8e2,2017-06,City of London Police,City of London Police,-0.090203,51.511118,On or near SCOTT'S YARD,E01032739,City of London 001F,Offender given community sentence
93c94faa4c923f9bfa90ed684a3ecfac00f58ceb110822ee4e85b809cbf56645,2017-06,City of London Police,City of London Police,-0.076459,51.513061,On or near Further/Higher Educational Building,E01000005,City of London 001E,Offender sent to prison
0a9503bdd456f7cc14a21127c10d12879f71b4462d37d656b4955f4734ff6854,2017-06,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Offender sent to prison
189d5d7cc9f539d678300b6806db6d3af60f935083af7a75ad5d082aa462020d,2017-06,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Offender sent to prison
509e013bbb46c7e2041f8b8f32971e5ed6146cd3acd65b2f592870bfd34775f6,2017-06,City of London Police,City of London Police,-0.085669,51.515100,On or near AUSTIN FRIARS,E01032739,City of London 001F,Offender sent to prison
c5604477730ac17fbfeadb6b12bcaad4dba64c818fce2f75737c1226cbb7af40,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
0283d7d121328aa30597e0898ed0c57d7e4567c227dff036eca33cfacbe91ea2,2017-06,City of London Police,City of London Police,,,No location,,,Defendant sent to Crown Court
6f4c2a8832175645fd3f645ad63efe89681be6c9f7b3e6ea5ca63f0b183b975b,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Offender given suspended prison sentence
209a21a810be4152422551c8b820f2345aba90bb028ddf2b8d3afeb1b473b33d,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Defendant found not guilty
540ce2a264f6d51846a96c73ee7c71e27b7ed3bb4dc1d4659173ec72e647d9cb,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Offender given suspended prison sentence
44fc41241de8a47821215ec62346d474b0c08ecfde4d88c1b217867728ada169,2017-06,City of London Police,City of London Police,-0.094758,51.512829,On or near Nightclub,E01032739,City of London 001F,Offender fined
8c23b0abe0c492ef2f4528b8ce8ff14ae0f7e47874c86f7049f9fe8e5c72741f,2017-06,City of London Police,City of London Police,-0.084105,51.515281,On or near Conference/Exhibition Centre,E01032739,City of London 001F,Offender given conditional discharge
4d8e9e1c263a96e29763d34d4d26cdf46b05d33a5656d0eeb17c3361b54d1569,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Offender given suspended prison sentence
16610e807a644cf37f5eece3bfced6e398a3e95a4328f8489a93090d415996b1,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
ec1485ad89d0c693660af25b77b2139c4ae97066135a0e4c996e92da09fea8a6,2017-06,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given suspended prison sentence
d645f31af0bf0cc81902015d9baaf5feadcf06778f5b01757e00edf6b4ac2ff4,2017-06,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Offender sent to prison
b6e5723d9fbd8f85c13fb135645b59d78126c2b2eb015cdd72925d3faa919888,2017-06,City of London Police,City of London Police,-0.086393,51.510894,On or near EASTCHEAP,E01032739,City of London 001F,Offender fined
5d961e5ef7339f9e931e39752f9f4ee0eba542781487ccfd3526ecf419fe76a2,2017-06,City of London Police,City of London Police,,,No location,,,Offender given suspended prison sentence
25d8c9a7c82eed5ea2f7ab26ffeeac96513f126439514063922a64497d3de324,2017-06,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Offender sent to prison
9e38e8a085c108961f4610725c1282737cbe342fc2298a928abd737f3ee2a8c2,2017-06,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Offender sent to prison
29514cb155ab70fcf12613bbf175371cba2eb8fca0b274ab4a009f370fcde10b,2017-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Offender given suspended prison sentence
92503d7099539aacabed00209b7ff6fe3d4b27b492075fed07ab4d2b5544ec71,2017-06,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Defendant found not guilty
6c84a722afbf175c2aead8572d176ef8432ad42b85338d8665eb62c95dc792f8,2017-06,City of London Police,City of London Police,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Offender given suspended prison sentence
39115cc092d553ce00fc8699f0bd501140107770c6920aa0af6daaece5cba4ed,2017-06,City of London Police,City of London Police,-0.083993,51.511440,On or near PHILPOT LANE,E01032739,City of London 001F,Offender fined
7afec919b75ac0fa8880d17b8ae1500ba6ae68075ede4bdc631da76064525a4a,2017-06,City of London Police,City of London Police,-0.081091,51.516014,On or near CAMOMILE STREET,E01032739,City of London 001F,Offender fined
c2b27b2f10386056c3d255c08a7ee115bd0de20648b278796f2f36bfdac3c95c,2017-06,City of London Police,City of London Police,-0.107926,51.516414,On or near BARTLETT COURT,E01032740,City of London 001G,Offender given conditional discharge
